patent_abstract,patent_date,patent_kind,patent_number,patent_title,patent_year
"A disposable absorbent article may include a chassis, an absorbent core, a pair of elastically elongatable ears and a pair of fastening tabs. The elastically elongatable ears and the fastening tabs have a transverse axis. The ears are connected to the chassis such that the transverse axis of the fastening tabs is located in specific portions of the article. The absorbent core is free of cellulosic fibers.",2015-12-29,B2,9220644,Absorbent article with improved garment-like character,2015
"A disposable absorbent article may include a chassis, an absorbent core, a pair of elastically elongatable ears and a pair of fastening tabs. The elastically elongatable ears and the fastening tabs have a transverse axis. The ears are connected to the chassis such that the transverse axis of the fastening tabs is located in specific portions of the article. The absorbent core is free of cellulosic fibers.",2016-01-26,B2,9241842,Absorbent article with improved garment-like character,2016
"A disposable absorbent article may include a chassis comprising a liquid permeable topsheet, a backsheet, and an absorbent core disposed between the topsheet and backsheet; and an ear joined to the rear waist region of the chassis such that at least a portion of said ear extends laterally outward from the longitudinal edge of the chassis in the rear waist region. The article further comprises a fastening system including an engaging member disposed proximate to distal edge of the ear and a receiving member disposed on the chassis in the front waist region, wherein the ear interconnects the front waist region and the rear waist region upon engagement of the engaging member with the receiving member. The ear has a Front Edge Displacement and a Rear Edge Displacement such that a sum of the Front Edge Displacement and the Rear Edge Displacement is no greater than about 12 mm.",2018-05-29,B2,9980858,Absorbent article with improved garment-like character,2018
None,2008-02-19,S1,D562413,Action character,2008
"An action character figure includes a torso portion, a rotatable arm portion on the torso portion, and a leg portion which is retractable into the lower end of the torso portion. The arm portion is connected to the leg portion in the interior of the torso portion such that rotation of the arm portion causes the leg portion to be retracted into the torso portion against the force of an internal biasing spring, and such that thereafter releasing the arm portion causes the arm portion to be rotated in a reverse direction and the leg portion to be resiliently propelled toward a normal outwardly extended position.",1992-02-11,A,5087219,Action character figure,1992
"An action character figure assembly includes a character figure, an elongated base and a control and mounting mechanism for releasably mounting the character figure on one leg thereof adjacent an end of the base. The control and mounting mechanism is remotely operable from the opposite end of the base for rapidly rotating the character figure about the axis of the first leg thereof so as to cause the character figure to perform various martial arts fighting maneuvers. The character figure includes a torso portion which is pivotally mounted on the first leg and a second leg and arms which are freely pivotably mounted on the torso portion so that they are centrifugally pivoted outwardly during a fighting maneuver.",1995-10-17,A,5458523,Action character figure assembly,1995
An action character figure comprises a character figure body including a torso portion having a window therein and a sparking mechanism in the torso portion. The sparking mechanism is operable for producing sparks which are visible through the window by pivoting an arm on the torso portion forwardly and downwardly from an upwardly extending first position to a downwardly extending second position.,1994-08-02,A,5334069,Action character figure with sparking mechanism,1994
"An action character model includes a torso having a first magnet disposed therein, the torso bounding a first passage extending from an exterior surface of the torso toward the first magnet. A first appendage has a first connector attached thereto, a portion of the first connector being received within first passage so that the first connector is magnetically coupled to the first magnet, the first connector being non-magnetic.",2019-03-19,B2,10232276,Action character models and accessories with movable parts,2019
"An action character assembly includes a torso having a first magnet disposed therein, the torso bounding a first passage extending from an exterior surface of the torso toward the first magnet, the first passage having a non-circular transverse cross sectional configuration. A first appendage has a first connector attached thereto, a portion of the first connector being received within first passage so that the first connector is magnetically coupled to the first magnet, the first connector being movably coupled to the first appendage.",2020-06-30,B2,10695683,Action character models and accessories with movable parts,2020
"An action character model includes a torso and a plurality of appendages including a head and at least one arm and one leg. A plurality of first magnets are attached to and project out of one of the torso or the plurality of appendages. A plurality of second magnets are disposed within the other of the torso or the plurality of appendages on which the first magnets are not attached. The other of the torso or plurality of appendages each bound a recessed socket extending from an exterior surface of the corresponding torso or appendage toward a corresponding one of the second magnets, each of the first magnets being at least partially received within a corresponding recessed socket so that each appendage is magnetically coupled with the torso and so that each appendage is rotatable on the torso.",2017-02-14,B2,9566531,Action character models and accessories with movable parts,2017
"An actuated toy device including a recognizable character such as a Santa Claus doll reclining in a bed. The doll character chest portion is moved up and down vertically by a battery-powered gear unit through a first linkage mechanism provided in a housing attached below the bed, so as to simulate breathing action by the doll. The toy device includes an audio unit mounted in the housing. Also a second linkage mechanism is provided and arranged to periodically raise the doll head and torso portions upward from a reclining position to a near sitting position and then fall back to the reclining position in the bed.",1995-02-28,A,5393259,Actuated toy device of santa character sleeping in bed,1995
"An adaptive automobile meter detection method based on character segmentation cascade classifier which processes threshold segmentation, morphology and connected components analysis on the original image; extracts the pointer based on the contour analysis method, establishes a pointer information list; constructs a character segmentation cascade classifier by combining a HOG/SVM character segmentation classifier, a character filter and a CNN digit classifier. The character segmentation cascade classifiers is used to identify the digit character area of the automobile meter. Region analysis is performed to extract tick marks based on the center of the digit character area. The angular position corresponding to the tick mark is determined. The response value corresponding to the pointer is determined by establishing the Newton interpolation linear description relationship between the pointer angle and the response value and then the meter is classified as pass or fail. The invention is suitable for the field of visual inspection of automobile meter pointers.",2021-02-16,B2,10922572,Adaptive auto meter detection method based on character segmentation and cascade classifier,2021
A method and a system for extracting character information from a signal matrix of gray level picture elements which compares pixel elements positioned in annular rings around a central pixel of interest to determine neighbor pair occurrences for purposes of eliminating spurious signals and for establishing a threshold for each document read which is used to eliminate undesired signals from the signal matrix.,1988-05-03,A,4742557,Adaptive character extraction method and system,1988
"The present invention performs coding with little deterioration in the image quality of a character image when block coding is performed by synthesizing the character image on an image. To achieve this object, an image processing apparatus of this invention includes a generating unit for generating character image data, an image synthesizing unit for synthesizing the character image data and another image data, and a coding unit for block-coding the image data synthesized by the synthesizing unit. In generating the character image data by the generating unit, a size of a unit pixel for forming character image data is a fraction of an even number or an integer multiple of a block size to be block-coded by the coding unit. The synthesizing unit synthesizes the image data such that each unit pixel does not cross a plurality of blocks.",2000-05-30,A,6069980,Adaptive character image generation and synthesis,2000
"Methods, systems and processor-readable media for adaptive character segmentation in an automatic license plate recognition application. A region of interest can be identified in an image of a license plate acquired via an automatic license plate recognition engine. Characters in the image with respect to the region of interest can be segmented using a histogram projection associated with particular segmentation threshold parameters. The characters in the image can be iteratively validated if a minimum number of valid characters is determined based on the histogram projection and the particular segmentation threshold parameters to produce character images sufficient to identify the license plate.",2015-05-26,B2,9042647,Adaptive character segmentation method and system for automated license plate recognition,2015
"A nominal carriage velocity profile is initiated during each carriage positioning interval which enables the carriage to be decelerated and stopped at the proper position for printing. However, the carriage velocity profile can be modified during the positioning interval to avoid decelerating if printing can occur on the fly; i.e., if the print element (and ribbon) are able to complete any necessary positioning by the time the carriage arrives at its printing position. In accordance with the preferred embodiment, the slave microprocessor produces a READY signal in advance of the print wheel arriving at its destination orientation. The READY signal indicates that both the print wheel and ribbon will reach their destinations and be ready for printing within a fixed time interval; e.g., three milliseconds. In response to the READY signal, the master microprocessor inhibits further adjustments in the carriage speed and permits the carriage to assume a ""fly"" mode. Additionally, from known carriage position and velocity information, the master microprocessor determines the time at which the carriage will pass through the printing position and when the hammer is to be fired.",1987-03-31,A,4653946,Adaptive electronic control system for formed character printer,1987
"A computer implemented method for adaptive optical character recognition on a document with distorted characters includes performing a distortion-correction transformation on a segmented character of the document assuming the segmented character to be a candidate character. The method further includes comparing the transformed segmented character to the candidate character by calculating a comparison score. If the calculated score is within a predetermined range, the segmented character is identified with the candidate character. The method may be implemented in either of computer hardware configured to perform the method, or in computer software embodied in a non-transitory, tangible, computer-readable storage medium. Also disclosed are corresponding computer program product and data processing system.",2013-07-23,B2,8494273,Adaptive optical character recognition on a document with distorted characters,2013
"A method and system for recognizing a character affected by a noise or an obstruction is disclosed. After receiving an image with characters, a character being affected by a noise or an obstruction is determined. Then, areas in the character where the noise or obstruction affected are precisely located. Templates representing every possible character in the image are updated by removing equivalent areas to the areas in the character being affected by the noise or obstruction. Then, the character is classified in a template among the updated templates by finding the template having the highest number of matching pixels with the character.",2012-11-06,B2,8306327,Adaptive partial character recognition,2012
"A method and system for recognizing a character affected by a noise or an obstruction is disclosed. After receiving an image with characters, a character being affected by a noise or an obstruction is determined. Then, areas in the character where the noise or obstruction affected are precisely located. Templates representing every possible character in the image are updated by removing equivalent areas to the areas in the character being affected by the noise or obstruction. Then, the character is classified in a template among the updated templates by finding the template having the highest number of matching pixels with the character.",2013-11-26,B2,8594431,Adaptive partial character recognition,2013
"A mail article transportation and stabilization system, and a method of operating the same, for use in conjunction with a camera-based optical character recognition (OCR), bar code reader (BCR), or similar image capture scanning system, comprises a conveyor drive belt for conveying the articles, pieces, or units of mail across a platen assembly within which an optical character recognition (OCR), bar code reader (BCR), or similar image capture camera or the like is positioned and in conjunction with which there is provided a serial array of air plenums for effectively creating an air bearing or air layer upon which the conveyor belt and the articles, pieces, or units of mail are conveyed in a relatively frictionless manner. The incoming pieces, articles, or units of mail are therefore able to be conveyed in a smooth, jitter-free, and stabilized manner whereby scanning, imaging, and reading of the address information contained upon the articles, pieces, or units of mail, as the articles, pieces or units of mail are conveyed past the camera view port, are able to be accurately, clearly, and completely achieved.",2006-02-28,B2,7006665,"Adaptive, product control and stabilization sub-system for camera-based optical character recognition, and a method of operating the same",2006
"An address reader method and apparatus for recognizing a receiver address on a surface of mail. In the invention an image of the surface of the mail is input and segmented into at least one character string candidate. At least one address area candidate is extracted from the image based upon the segmented character string candidate. One of the address area candidates extracted from the image is selected as a receiver address of the mail by analyzing each of the address area candidates based on predetermined position information indicating a usual position of a receiver address area, character direction information indicating a character direction of a character string appropriate for the predetermined position information, and key character string information indicating a character string most likely to exist in a receiver address. Characters in character strings of the selected address area candidate are recognized as a receiver address which is used to sort the mail.",2001-09-18,A,6291785,"Address reader, sorting machine such as a mail thing and character string recognition method",2001
"An address reader method and apparatus for recognizing a receiver address on a surface of mail. An image of the surface of the mail is input and segmented into at least one character string candidate. At least one address area candidate is extracted from the image based upon the segmented character string candidate. One address area candidate extracted from the image is selected as a receiver address by analyzing each address area candidate based on predetermined position information indicating a usual position of a receiver address area, character direction information indicating a character direction of a character string appropriate for the predetermined position information, and key character string information indicating a character string most likely to exist in a receiver address. Characters in character strings of the selected address area candidate are recognized as a receiver address.",2002-10-22,B2,6470091,"Address reader, sorting machine such as a mail thing and character string recognition method",2002
Scan lines of characters designating the name and address of a facsimile transmitting station or the like are stored in a read only memory (54). The scan lines are read out of the memory (54) and transmitted by a microcomputer (41) prior to facsimile transmission for reproduction on the top of a sheet of facsimile reproduction at a facsimile receiving station.,1987-02-17,A,4644319,Addresser designation character pattern generation apparatus for facsimile transmission,1987
"A method and apparatus are disclosed for addressing a character generator memory containing symbols common to two or more languages in a common area of the character generator memory. Symbols which are special to the particular language being displayed are stored in one of a plurality of special symbol areas of the character generator memory. One of the special symbol areas contiguous with the common area is identified as a default symbol area. The proper special symbol area of the character generator memory is selected by comparing the high order bits of a display character code with compare bits to determine whether a different special symbol area of the character generator memory is to be substituted for the default area contiguous with the common area. If the compare bits indicate that a different special area of the character generator is to be substituted, the high order bits of the display character code are not directly used to address the character generator memory but are replaced by substitution bits to access that special symbol area unique to the language being displayed.",1984-01-31,A,4429306,Addressing system for a multiple language character generator,1984
"An adjustable stamp for stamping characters on a workpiece, including a base plate with a platen, a plurality of stamps each having a raised character on one side, a stamp holder, and a support securing the stamps to the holder in an array while allowing limited free motion of the stamps relative to each other in the stamping and retract directions. The support is mounted to the base plate for movement in a plane substantially perpendicular to the stamping direction to selectively position one of the stamps over the platen. The base plate and the workpiece may be pressed together, whereby the raised character of the one stamp is stamped into the workpiece by the platen pressing against the opposite side of the one stamp, with the free motion of the other stamps preventing their raised characters from being stamped into the workpiece.",2012-09-25,B2,8272323,Adjustable character stamp,2012
"Methods and systems for increasing the contrast with which thin-stemmed characters can be displayed in sub-pixel rendering processes are disclosed. Some fonts, such as Courier New, have relatively thin stems and other character features that would otherwise be rendered with low contrast when displayed using an oversampling process combined with a rendering process that treats individual pixel sub-components as separate luminous intensity sources. In order to avoid such low contrast features and to avoid the need for revising the font itself, the alpha values for the pixel sub-components that correspond to the character features are selectively increased to simulate larger dimensions of the character features and to increase the contrast with which the character dimensions are displayed. The methods involve oversampling image data representing a character by obtaining multiple samples for each of a plurality of pixel sub-components of a pixel. The alpha values associated with pixel sub-components at or near the position of the character features are increased to give the appearance of larger dimensions of the character features and greater contrast in the displayed image.",2002-03-19,B1,6360023,Adjusting character dimensions to compensate for low contrast character features,2002
"The invention relates to agrochemical compositions comprising oils and alkylpolysiloxanes of high silicone character (HSCAS) with good oil compatibility which improve the spreading behavior and reduce surface tension of oil-based agricultural formulations, and optionally comprising agrochemically active ingredients such as fungicides, insecticides or herbicides and/or inert ingredients such as emulsifiers and other agrochemically acceptable components.",2017-07-18,B2,9706771,Agrochemical oil compositions comprising alkylpolysiloxane adjuvants of high silicone character,2017
"An air freshener with customizable fragrances is disclosed. The air freshener accepts a plurality of fragrance modules, which allow a user to create customized fragrant environments. A fan and/or heating element are included to increase fragrance dispersal. Additional components may be included into the air freshener to provide enhancements to the user experience, including but not limited to a clock, timer, or a music player. The air freshener obtains power from a number of sources, such as AC mains or DC batteries. Energy storage devices located on board the air freshener may be charged by inductive or solar power. The air freshener may also include lighting elements and styling cues to integrate into the local environment.",2013-02-26,B2,8385730,Air care unit allowing for customization of fragrance strength and character,2013
"The invention relates to Al2O3-containing and high-temperature resistant glass sliver on silica basis having a highly textile, cotton-like and voluminous character. The invention also relates to glass staple fiber products from said glass sliver and their use. The textile character and high-temperature resistance are obtained in particular by selective acid extraction. The composition of the inventive glass sliver comprises in particular SiO2 as main component and 1-5% (wt.) Al2O3 as subsidiary component.",2002-10-22,B1,6468932,"Al2O3-containing, high-temperature resistant glass sliver with highly textile character, and products thereof",2002
"A computer-driven printing system automatically adjusts inter-character spacing to account for the different visual effects that font scaling has on different ordered character pairs. The adjustment A(S, X.sub.j, X.sub.k) for a given size s and character pair (X.sub.j, X.sub.k) is computed from the formula: EQU A(s, X.sub.j, X.sub.k)=C.sub.1 (X.sub.j, X.sub.k)+C.sub.2 (X.sub.j,X.sub.k) s.sup.-1/2, where C.sub.1 and C.sub.2 are constants with respect to s but are not in general independent of (X.sub.j, X.sub.k). The constants C.sub.1 and C.sub.2 are determined by a procedure that is equivalent to finding A manually at more than one size s and solving the resulting equations simultaneously.",1998-03-03,A,5724596,Algorithmic character-space adjustment computed from character-sequence-based constants and font size,1998
"Some embodiments provide a novel operation for aligning a symbol with an associated character in a digital content processing application. In some embodiments, the alignment operation uses a font property of the character to align the symbol with the character. In some embodiments, the character has a slanted display orientation and the font property is an angle at which the character is slanted. Symbols that are associated with characters include diacritical marks, accents, mathematical symbols that align above or below a character, and other symbols of the character. The character, sometimes referred to as a “base character”, may be a character in text, in an equation, etc.",2016-06-21,B2,9372834,Aligning a symbol with a character,2016
Determination of an underlying grid structure that facilitates layout of East Asian text is disclosed. The underlying grid structure includes both a size of character frames and a size of a text block frame. The East Asian text may be obtained from a scan of printed material that has the text formatted according to layout conventions established by the publisher. The text may be reformatted to appear on a display of an electronic device in a manner similar to the formatting in the original scanned document. Reformatting may include reflowing the text in order to fit a greater or lesser number of characters on a line. The reflowing may maintain character spacing from the original document and follow formatting rules against locating certain characters at the start or end of a line.,2017-08-15,B1,9734132,Alignment and reflow of displayed character images,2017
A metal code process for a read-only memory (ROM) combines the alignment dip back process (to reduce the polyoxide thickness over the gate electrode and to protect the field oxide) with a double charge implant approach to provide the function of a depletion mode ROM cell. The alignment dip back process also avoids leakage current problems. A stable depletion mode device character is achieved by implant step energies greater than 150 keV.,2001-05-29,A,6238983,Alignment dip back oxide and code implant through poly to approach the depletion mode device character,2001
"Embodiments of the present invention describe systems and methods for using a combined (or All-In-One) Chinese input method to enter Chinese characters in documents and forms on computers or on web sites. The combined Chinese input method includes a number of Chinese input methods that are frequently used by users. Chinese characters that match the strings of symbols typed by users are displayed under each of the Chinese input methods for users to select the correct characters under the desired Chinese input methods. The combined Chinese input method allows users to enter (or input) Chinese characters without specifying the Chinese input methods being used, which reduces the time used in switching input methods. Further, the combined Chinese input method can also be personalized to include Chinese input methods frequently used by or specified by users. The display of the Chinese characters matching the strings of symbols entered to form Chinese characters can also be personalized to enhance usability and to increase the speed of identifying matched Chinese characters.",2015-08-11,B2,9104244,All-in-one Chinese character input method,2015
"The claimed subject matter provides a system and/or a method that facilitates analyzing and/or recognizing a handwritten character. An interface component can receive at least one handwritten character. A personalization component can train a classifier based on an allograph related to a handwriting style to provide handwriting recognition for the at least one handwritten character. In addition, the personalization component can employ any suitable combiner to provide optimized recognition.",2010-01-12,B2,7646913,Allograph based writer adaptation for handwritten character recognition,2010
"The innovation supports the ability to map alpha characters entered directly into the dialer application of a smartphone. These alpha characters can be entered via a smartphone keyboard (e.g., QWERTY keyboard) and converted to the appropriate digits as mapped to a conventional telephone keypad. The resultant numerical digits can be used to prompt a network call. Additionally, the innovation can be used during an active call to respond to prompts that traditionally require 12-key mappings. This innovation allows a user to both dial a number directly via a smartphone keyboard, and filter contacts by name, in a non-modal manner.",2014-12-30,B2,8923507,Alpha character support and translation in dialer,2014
"An arrangement of alpha numeric character sets comprising a plurality of alpha numeric characters of graduated sizes graphically layered in two or three dimensional form. The characters are arranged in a superimposed fashion with the sizes of the characters uniformly graduating in size as one views each set of characters. The characters thus arranged appear to be arranged in a stacked form over a common center point or axis. Such an arrangement is particularly adapted to provide a representation of a calendar date but can, when desirable, be utilized to spell a word such as a person's name.",1983-06-14,A,4387521,Alpha numeric character arrangement,1983
The present invention is for an alpha-numeric character display panel which is a low profile electronic alpha-numeric character display panel which utilizes pre-existing geometrically configured framework members. The low profile electronic alpha-numeric character display panel is of waterproof construction suitable for outdoor use and can be mounted in areas requiring minimal spatial impact with respect to depth.,2002-04-30,B1,6379209,Alpha-numeric character display panel,2002
"An alpha-numeric character generator arrangement having as a character store a ""read-only"" memory in which characters are stored in a character format composed of a co-ordinate matrix (e.g. a 7.times.5 dot matrix) of discrete character elements. One aspect of the invention resides in storing the descender letters g, j, p, q and y such that those elements forming the ""tail"" of the descender letter are stored in character element rows which in a given row addressing sequence for the store precede the character element rows in which the remaining elements for the descender letter are stored. Another aspect of the invention resides in addressing the character element rows of the character store in a partially cyclic manner such that descender letters are read-out for display in a ""lowered"", correctly aligned, position in a row of displayed characters. FIGS. 6 and 8 illustrate the invention.",1982-04-06,A,4323892,Alpha-numeric character generator arrangement,1982
There is provided an alphabetic character input apparatus including a data storage unit configured to store therein alphabetic character assignment information of each of keys in an alphabetic character input section and a program for inputting an alphabetic character; a key input unit configured to detect a key manipulation signal of a user to select an alphabetic character assigned to each of the keys; and a memory configured to store therein alphabetic character assignment information of a key corresponding to a key manipulation signal lately input by the user such that the alphabetic character assignment information of the key is assigned to a clone key.,2014-07-15,B2,8780049,Alphabetic character input apparatus and method thereof,2014
"Disclosed is an alphabetic character input device which includes a key input section composed of a first key group having input keys mapped with first half patterns of certain alphabetic characters which are divided into a pair of half patterns and a second key group having input keys mapped with second half patterns of said certain alphabetic characters, the other undivided alphabetic characters being mapped on the input keys of either the first key group or the second key group; a memory for storing a table that maps the input keys of the first and second key groups with the first and second half patterns of said certain alphabetic characters and said other alphabetic characters; and a control section that recognizes a key mapped with the alphabetic character is pressed and combines a first half pattern with a second half pattern when keys mapped with first second half patterns are pressed in sequence, thereby recognizing the combined patterns as a single alphabetic character. An alphabetic character can be inputted by one or two keystrokes. Certain alphabetic character are each divided into a pair of half patterns, i.e., a first half pattern and a second half pattern, which are intuitively associated with a complete alphabetic character. Thus, the character input device enables the user to easily and rapidly input alphabetic characters with fewer keystrokes.",2006-08-29,B2,7098919,Alphabetic character inputting device and method for recognizing inputted characters,2006
"The print convention apparatus and method disclosed herein effects a decision making process with respect to a determination as to whether an alphabetic character field output from an optical character reader (OCR) is related to the OCR scan of an upper case or a lower case inscription on the document scanned. The alphabetic character field (e.g., a word) is comprised of one or a series of alphabetic characters which represent the OCR's interpretation of characters printed on the scanned document. Each word output by the OCR corresponds to a field (i.e., word) of characters imprinted on the scanned document. The electrical signals representative of the upper and lower case alphabetic characters and rejects including conflicts outputted from the OCR are applied to a character occurrence probability storage apparatus which contains precomputed empirical probabilities therein that: (1) a given character recognition is the result of the scan of an upper case character; and (2) a given character recognition is the result of the scan of a lower case character. In addition, the storage apparatus includes probability values for character conflicts and rejects. As the series of alphabetic character signals from the OCR output are applied character-by-character to the character occurrence probability storage apparatus (e.g., a read-only store), a running sum of the respective probabilities for the upper case and lower case print conventions is developed so that, following the input of the final character, reject or conflict within a word to the aforesaid apparatus, an appropriate upper or lower case determination can be made for all of the characters within the word. This determination corresponds with the print convention of the word inscribed on the scanned document. A corresponding upper or lower case flag is correspondingly generated with the print convention determination, and associated with the alphabetic character word output from the print convention apparatus for further text processing. In one embodiment of the invention the probability for each OCR output alphabetic character being an upper or lower case character is stored in respective upper and lower case character occurrence probability storage devices after having been precomputed as the product of two probability factors; i.e., (1) a first probability factor with respect to the likelihood that the OCR recognition resulted from the scan of an upper or lower case character, and (2) a second probability factor with respect to the likelihood of a given character occurring in a specified language (e.g., English) document. In another embodiment of the invention, the character occurrence probability storage devices are functionally replaced by a read-only store having an address position for each upper and lower case alphabetic character outputted by the OCR including conflicts and rejects, and a precomputed numerical probability value associated with each address position to represent the quotient of: (1) the probability that a given character is related to an upper case print convention; and (2) the probability that the same character is related to a lower case print convention.",1977-01-11,A,4003025,Alphabetic character word upper/lower case print convention apparatus and method,1977
"The method and apparatus disclosed involve the scanning of a representation of a character by means of at least three frame scans based on respectively different directions, the frame scans developing quasitopological codes (QTC) indicative of character STARTS, OPENINGS, CLOSINGS and FINISHES. The QTC relating to convexity-shapes and concavity-shapes of different segments of the character are then automatically stored in respective groups of storage locations in a store, such that, at the end of the process, the groups storing QTC are functionally arranged approximately in the shape of the character so that the character is at least partially recognizable thereby. Also disclosed is method and apparatus in which at least partial recognition of the character takes place by comparing the distances between selected pairs of QTC. In addition, the recognition process may involve the actual comparison of the list of QTC for the character with a set of lists representing predetermined characters.",1979-07-31,A,4163213,Alphanumeric character identification,1979
"A cathode ray tube display system is provided for displaying a block comprising a plurality of alphanumeric characters arranged in a plurality of character lines having cyclic refresh means wherein each unitary or whole character is refreshed before the next succeeding character is refreshed. The system comprises means for repetitive raster scanning of the CRT tube in a raster of horizontal passes each traversing the whole one of said character; each of these horizontal passes comprises a subraster of vertical scan lines wherein each character position in said character line being traversed is scanned by a group of these vertical scan lines, and means are provided for modulating the light intensity along the vertical scan lines of each of these groups to selectively provide an alphanumeric character at the position being scanned by the group of scan lines.",1981-05-26,A,4270124,Alphanumeric CRT display system with unitary character formation and refresh,1981
"The rate and character of androgen-stimulated beard hair growth in intact, sexually mature males is altered by the topical application out of a dermatologically acceptable carrier of an antiandrogen material. In a preferred practice of the invention, compositions containing both a steroid 5-alpha-reductase inhibitor and a cytoplasmic androgen receptor binding agent are employed.",1989-12-05,A,4885289,Alteration of character of male beard growth,1989
The rate and character of mammalian hair growth is altered by the topical application to the skin of a composition containing an inhibitor of the enzymes adenylosuccinate synthetase or aspartate transcarbamylase.,1992-03-10,A,5095007,Alteration of rate and character of hair growth,1992
The rate and character of mammalian hair growth is altered by the topical application to the skin of a composition containing an inhibitor of the enzyme gamma- glutamyl transpeptidase.,1992-03-17,A,5096911,Alteration of rate and character of hair growth,1992
The rate and character of mammalian hair growth is altered by topical application to the skin of a composition containing an inhibitor of the enzyme transglutaminase.,1992-09-01,A,5143925,Alteration of rate and character of hair growth,1992
The incorporation of a proton acceptor to an HF alkylation composition. The addition alters the character of HF droplets in an HF cloud rendering a forming HF cloud more easily treated by a simple water drench.,1990-07-03,A,4938935,Alteration of the character of hydrogen fluoride droplets rendering them more susceptible to a water drench,1990
"Some embodiments provide domain name suggestions based on a user-provided ASCII phrase translated and/or transliterated into any of a number of supported non-English language character sets. To suggest non-English-language domain names, some embodiments parse, translate, and transliterate the user-provided ASCII names into domain names that include at least one non-English language character. Moreover, some embodiments determine the DNS registration status (e.g., as a second-level domain) of the Punycode (in ASCII) corresponding to these non-English domain names and provide the user with the ability to register any that are unregistered.",2020-06-16,B2,10686750,Alternate character set domain name suggestion and registration using translation and transliteration,2020
